orig,type,subtype,color,detail,brand,condition,fit_for_system,notes
IMG_0785,pants,jeans,dark-indigo,straight,unknown,fine,strong,Medium-dark indigo jeans with subtle whiskering
IMG_0786,pants,dress-trouser,black,suit-pant,unknown,fine,medium,Black dress trouser with slight sheen likely Kenneth Cole suit pant
IMG_0787,pants,jeans,medium-blue,straight,unknown,fine,medium,Medium blue wash jeans lighter than dark-rinse
IMG_0788,pants,chino,black,flat-front,H&M,fine,weak,H&M black flat-front chino daily formal pant
IMG_0789,pants,technical-pant,black,athletic,unknown,fine,medium,Black technical pant with side zip pockets and elastic waist
IMG_0790,pants,jeans,medium-blue,straight,Banana Republic,fine,medium,Banana Republic medium blue jeans
IMG_0791,pants,jeans,medium-blue,slim,unknown,fine,medium,Mid-blue jeans slimmer cut
IMG_0792,pants,jeans,medium-blue,slim,Tommy Hilfiger,fine,medium,Tommy Hilfiger medium-blue slim jeans
IMG_0793,pants,jeans,dark-indigo,straight,unknown,fine,strong,Premium dark indigo jeans size 32 with subtle distress
IMG_0794,pants,jeans,dark-indigo,slim,unknown,fine,strong,Slim dark indigo jeans tagged slim
IMG_0795,group-photo,closet-shelf,multicolor,tee-stack,unknown,fine,medium,Closet shelf with stacks of folded tees in red navy charcoal gray blue with one graphic visible
IMG_0796,group-photo,closet-shelf,gray,sweater-stack,unknown,fine,medium,Stack of gray ribbed sweater plus dark items below
IMG_0798,shorts,cotton-short,medium-blue,graphic,unknown,fine,weak,Blue cotton shorts with red Space EST 1989 graphic patch
IMG_0799,shorts,hybrid-short,dusty-blue,heathered,Boardwalks,fine,medium,Heathered dusty-blue Boardwalks hybrid walk shorts
IMG_0800,swimwear,swim-shorts,stone,drawstring,unknown,fine,medium,Gray-stone swim trunks with blue drawstring short inseam
IMG_0801,swimwear,board-shorts,black,floral-graphic,Billabong,fine,weak,Billabong black board shorts with line-art floral and neon accents
IMG_0802,shorts,technical-short,black,performance,Columbia,fine,medium,Columbia black technical short with cargo pocket and elastic waist
IMG_0803,swimwear,board-shorts,multicolor,angular,unknown,fine,hard-no,Black board shorts with pink green orange angular stripes loud surf print
IMG_0804,shorts,hybrid-short,charcoal,heathered,O'Neill,fine,medium,O'Neill charcoal heathered hybrid walk shorts
IMG_0805,shorts,cargo-short,black,drawstring,The North Face,fine,medium,Black cotton cargo-style shorts with drawstring waist casual outdoor look
IMG_0806,shorts,chino-short,sand,solid,unknown,fine,medium,Sand-khaki flat-front chino shorts neutral but light tone
IMG_0807,shorts,chino-short,dusty-blue,heathered,unknown,fine,medium,Heathered dusty-blue flat-front shorts decent neutral
IMG_0808,shorts,technical-short,olive,performance,unknown,new-looking,strong,Olive performance hybrid shorts matte texture aligns with system
IMG_0809,shorts,board-shorts,charcoal,solid,Cannondale,fine,weak,Dark charcoal board shorts with leather drawstring tips active wear
IMG_0810,shorts,board-shorts,brown,logo-graphic,Quiksilver,visible-wear,hard-no,Brown board shorts with large yellow Quiksilver logo loud surf branding
IMG_0811,shorts,chino-short,charcoal,plaid,unknown,visible-wear,weak,Charcoal plaid windowpane shorts faded
IMG_0812,shorts,board-shorts,charcoal,plaid,unknown,fine,weak,Charcoal plaid board shorts with turquoise drawstring mesh liner
IMG_0813,swimwear,board-shorts,black,solid,Oakley,fine,medium,Black solid board shorts with side cargo pocket clean
IMG_0814,shirt,linen-shirt,stone,solid,Primark,fine,medium,Cream-stone linen-look button shirt soft tone but light for system
IMG_0815,shirt,button-shirt,olive,solid,Zara,fine,strong,Olive long-sleeve button shirt twill texture aligns with system
IMG_0816,shirt,button-shirt,navy,performance,Columbia,fine,strong,Navy Columbia PFG vented fishing shirt technical but on-palette
IMG_0817,shirt,button-shirt,olive,military-pockets,Old Navy,fine,medium,Olive short-sleeve linen shirt with chest flap pockets safari look
IMG_0818,shirt,button-shirt,charcoal,performance,Columbia,fine,strong,Charcoal Columbia technical short-sleeve shirt matte texture
IMG_0819,jacket,puffer,black,quilted,unknown,fine,strong,Black lightweight quilted puffer jacket soft-structured layer
IMG_0820,suit,suit-jacket,charcoal,solid,unknown,new-looking,strong,Charcoal dark suit jacket from cleaner bag sharp formalwear piece
IMG_0821,jacket,windbreaker,multicolor,camo-graphic,unknown,fine,hard-no,Camo windbreaker with Author Summit Europe 2019 patch branded event swag
IMG_0822,jacket,varsity,navy,logo-front,unknown,fine,hard-no,Navy-gray varsity bomber with SFC chenille patch collegiate gimmick
IMG_0823,shirt,oxford,light-blue,solid,H&M,fine,strong,Light blue H&M slim-fit dress shirt classic system staple
IMG_0824,shirt,button-shirt,olive,performance,Columbia,fine,strong,Olive Columbia technical long-sleeve shirt ripstop texture
IMG_0825,shirt,button-shirt,gray,chambray,unknown,visible-wear,medium,Gray chambray short-sleeve with flap pockets and epaulets utility look
IMG_0826,shirt,button-shirt,burgundy,solid,unknown,fine,strong,Dark burgundy long-sleeve button shirt formal accent color
IMG_0827,shirt,button-shirt,olive,pinstripe,unknown,fine,strong,Olive pinstripe long-sleeve button shirt refined pattern on-palette
IMG_0828,shirt,button-shirt,white,performance,Columbia,fine,medium,White Columbia PFG vented fishing shirt crisp but very casual
IMG_0829,shirt,button-shirt,burgundy,solid,Caterpillar,fine,medium,Washed burgundy short-sleeve button shirt with CAT branding casual
IMG_0830,shirt,fishing-shirt,soft-white,vented-pockets,Columbia,fine,medium,Columbia PFG short-sleeve performance shirt with chest pockets casual outdoor not boardroom
IMG_0831,jacket,puffer,charcoal,quilted-insulated,Marmot,fine,strong,Lightweight Marmot puffer in charcoal clean lines work as soft-structured layer
IMG_0832,shirt,fishing-shirt,sand,vented-pockets,Columbia,fine,weak,Columbia PFG khaki short-sleeve too utilitarian-safari for sporty-authority
IMG_0833,shirt,linen-shirt,stone,short-sleeve,unknown,fine,medium,Stone linen short-sleeve casual button-up relaxed island vibe
IMG_0834,shirt,dress-shirt,white,spread-collar,Modena,fine,strong,Crisp white poplin dress shirt foundational piece
IMG_0835,shirt,fishing-shirt,stone,logo-patch,unknown,fine,hard-no,Land Rover logo patch on chest pocket makes it gimmicky branding
IMG_0836,shirt,button-shirt,charcoal,solid,unknown,fine,medium,Faded near-black cotton button-up slightly washed out
IMG_0837,shirt,dress-shirt,light-blue,spread-collar,unknown,fine,strong,Pale blue dress shirt system staple
IMG_0838,shirt,dress-shirt,medium-blue,solid,unknown,fine,strong,Mid-blue end-on-end dress shirt very on-system
IMG_0839,shirt,oxford,light-blue,button-down,unknown,fine,strong,Classic light blue OCBD with chest pocket
IMG_0840,shorts,athletic-short,black,performance,HEAD,visible-wear,weak,Black HEAD tennis training shorts visible lint gym only
IMG_0841,shirt,oxford,dusty-blue,short-sleeve,unknown,fine,medium,Chambray short-sleeve oxford with small chest logo casual weekend
IMG_0842,shirt,button-shirt,red,western,Rhythm,fine,weak,Faded coral-salmon cotton long-sleeve off-palette for system
IMG_0843,shirt,dress-shirt,black,solid,unknown,fine,medium,Black long-sleeve button-up usable but not blue-led
IMG_0844,shirt,dress-shirt,navy,solid,H&M,fine,strong,Navy long-sleeve shirt strong system color
IMG_0845,shirt,dress-shirt,charcoal,micro-check,unknown,fine,medium,Charcoal micro-pattern shirt with subtle burgundy buttons
IMG_0846,shirt,dress-shirt,navy,solid,unknown,fine,strong,Dark navy slim long-sleeve dress shirt
IMG_0847,shirt,dress-shirt,charcoal,solid,H&M,fine,medium,Dark gray long-sleeve cotton shirt
IMG_0848,shirt,button-shirt,stone,pinstripe,Quiksilver,fine,weak,Quiksilver short-sleeve striped utility shirt with dual flap pockets surf-brand casual
